Name,Lat,Lng,Address,Features,Agoda
Sushi Masashi,35.6681,139.7152,"Minato, Tokyo","Omakase, Premium, Michelin Star",
Sushi Takumi Masa,35.6591,139.7212,"Minato, Tokyo","Creative, Omakase, Premium",
Sushi Sora,35.6851,139.7712,"Chuo, Tokyo","Luxury, High-end, View",
Sushi Kikkawa,35.6712,139.7645,"Ginza, Tokyo","Traditional, Edomae, Premium",
Sushi Ichiyanagi,35.6712,139.7635,"Ginza, Tokyo","Traditional, Omakase, Michelin Star",
Sushi Hisayoshi,35.6651,139.7345,"Minato, Tokyo","Modern, Omakase, Premium",
Sushi Kuruma Ginza,35.6712,139.7642,"Ginza, Tokyo","Traditional, Edomae, Premium",
Sushi Ginza Shirokane,35.6691,139.7651,"Ginza, Tokyo","Modern, Stylish, Premium",
Sushi Tokiwa,35.6712,139.7645,"Ginza, Tokyo","Traditional, Omakase, Premium",
Sushi MUKU,35.6651,139.7012,"Shibuya, Tokyo","Modern, Creative, Stylish"
